Company,Title,Salary,ID,URL
Flow Solutions Vietnam,Python Developer (Django),"Upto 25,000,000",1437,https://itviec.com/it-jobs/python-developer-django-flow-solutions-vietnam-5203
Virtium Viet Nam,Software Testing Engineers (Automation),Thương lượng,1436,https://itviec.com/it-jobs/software-testing-engineers-automation-virtium-viet-nam-4917
YouthDev,Python Django full-stack or back-end dev,Up to 1000,1432,https://itviec.com/it-jobs/python-django-full-stack-or-back-end-dev-youthdev-1618
"Hyakusenrenma, Inc.",Senior Back-end (Ruby/ Python/ PHP) Dev.,Thương lượng,1435,https://itviec.com/it-jobs/senior-back-end-ruby-python-php-dev-hyakusenrenma-inc-0822
YouthDev,Python Django full-stack or back-end dev,Up to 1000,1432,https://itviec.com/it-jobs/python-django-full-stack-or-back-end-dev-youthdev-1618
ZALORA Group,Data Engineer/Data Scientist (Python/R),Thương lượng,1434,https://itviec.com/it-jobs/data-engineer-data-scientist-python-r-zalora-group-3352
Appable Vietnam,Python Engineer,"600 - 1,000 USD",1431,https://itviec.com/it-jobs/python-engineer-appable-vietnam-0402
Cinnamon,AI Researcher (Algorithm|Python|Math),$800 - $3500,1429,https://itviec.com/it-jobs/ai-researcher-algorithm-python-math-cinnamon-4241
Mắt Bão,Python Developer,"500 - 1,000 USD",1428,https://itviec.com/it-jobs/python-developer-mat-bao-4216
Trusting Social,Software Development Manager,Thương lượng,1430,https://itviec.com/it-jobs/software-development-manager-trusting-social-2643
Bridgetek Viet Nam,"Software Engineer ( Java/C++, Python )",Thương lượng,1426,https://itviec.com/it-jobs/software-engineer-java-c-python-bridgetek-viet-nam-5500
Tổng Công ty Cổ phần Bảo hiểm BIDV,System Engineer,Thương lượng,1427,https://itviec.com/it-jobs/system-engineer-tong-cong-ty-co-phan-bao-hiem-bidv-0532
Mainspring Vietnam,Machine Learning Developer (Python),Thương lượng,1424,https://itviec.com/it-jobs/machine-learning-developer-python-mainspring-vietnam-1845
Cazoodle,"Software Developer (Python, PHP, JS)","600 - 1,200 USD",1425,https://itviec.com/it-jobs/software-developer-python-php-js-cazoodle-5540
TMA Solutions,II.	Automation testers,"500 - 1,000 USD",1423,https://itviec.com/it-jobs/ii-automation-testers-tma-solutions-1650
CÔNG TY CP MOG VIỆT NAM (MOG),Python Backend Development,"1 - 2 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 5 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1422,https://mywork.com.vn/tuyen-dung/viec-lam/1091599/python-backend-development.html
Rainmaker Labs,Python Developer,"800 - 1,200 USD",1420,https://itviec.com/it-jobs/python-developer-rainmaker-labs-5630
Global CyberSoft,AI/ML Engineer (Matlab/C++/R/Python),Thương lượng,1421,https://itviec.com/it-jobs/ai-ml-engineer-matlab-c-r-python-global-cybersoft-0657
